CSC,PJW,Preiss,UnsignedCSC
30067,17928,31738,30067
100,27888,27305,26548
102,29080,13078,15383
117,4846,14878,23553
116,28790,14308,15757
118,27838,27319,26566
116,4013,15133,23940
117,27839,27320,26565
104,3841,31249,19440
111,7928,12851,17402
116,8764,23896,28027
102,11135,13418,17637
116,24991,25227,526
100,2778,25977,22781
122,5537,3913,14118
10924,3550,24207,10924
122,12152,15107,1649
117,2135,8834,31550
102,19874,20924,19572
116,4638,3025,13666
20016,28545,4198,20016
101,5016,34349,7628
104,22617,9654,23322
117,23566,6338,18458
106,26825,20912,6031
101,24622,32669,27634
104,3783,12846,10137
117,20052,15683,28026
116,22506,6128,28571
99,11907,33848,7581
101,27670,14263,8430
116,27653,14248,8449
104,1962,27674,32487
102,13931,28737,30271
101,26450,1255,3037
116,26561,1270,3056
104,27656,25686,24880
111,27679,25743,24857
116,19624,27639,18722
116,14482,4909,1582
116,34056,20279,25391
9561,30216,29469,9561
100,15522,21405,32107
117,15473,21420,32124
104,14959,27222,23183
9578,30247,29420,9578
102,3645,22137,1402
122,3633,22117,1390
101,23804,27851,7523
115,23786,27837,7541
116,10064,12651,3225
104,9764,28767,26682
117,15154,6780,20738
116,2963,15767,34645
115,23882,27197,7861
116,11600,18782,27814
117,16033,18412,32604
117,21084,23295,8929
116,1597,24707,28595
115,12603,7980,29960
101,16928,23130,22588
104,10963,31249,2792
116,31929,17054,3757
116,27618,12651,12562
111,5980,27160,13063
116,26137,27639,4189
102,8931,26593,13810
122,28743,11842,15273
115,26841,33312,23344
116,7441,2259,7780
102,3575,30582,14449
122,3563,30602,14477
108,23478,34506,23810
116,3847,27992,5278
122,4459,2416,17293
111,26498,27160,31104
116,6135,27639,16458
32154,4603,33487,32154
100,23662,34754,23674
118,23612,34768,23692
116,6055,9931,1630
117,23613,34769,23691
104,5883,26047,31959
122,2629,19373,20079
122,32995,12522,15528
102,9123,18468,10873
111,16143,8516,19389
116,15953,8099,32348
15147,4637,6017,15147
31948,4649,33629,31948
102,34280,22060,29488
101,18824,10783,30726
122,6258,20359,9283
115,18806,10797,30744
116,42,16394,31356
104,34571,32510,7899
15151,4641,6021,15151
100,25198,24501,13434
117,25149,24516,13451
102,22497,5639,32894
105,2845,30020,16716
101,25323,22317,22538
116,25210,22302,22515
104,5967,17649,29580
117,32069,21752,18243
116,10356,15767,33421
111,21013,5569,8949
116,7541,27639,24788
30933,26543,12512,30933
12796,5022,13874,12796
102,17643,16908,20754
117,19570,12207,19158
116,17865,15678,20228
13387,5261,14785,13387
100,9773,13146,8662
118,9723,13160,8680
116,27634,8982,8852
104,27462,27695,4352
111,27453,27752,4375
116,34163,26222,5717
102,30660,27185,4610
18610,14633,2688,18610
102,12362,1413,12466
111,21023,27160,10201
13308,5278,14898,13308
21217,14890,9777,21217
21202,14905,9792,21202
13317,5287,14907,13317
100,16429,25252,14780
117,9437,15683,12108
116,31363,16228,26936
20978,15049,10496,20978
108,20289,11540,8544
102,8680,34517,34562
3877,24906,21805,3877
1669,26490,11616,1669
116,2860,10771,32822
30937,26547,12516,30937
34231,30712,28790,34231
101,4552,19649,5266
104,15193,30267,5753
117,23537,12921,20561
111,21842,29169,28825
111,6273,4835,15177
23499,6733,4276,23499
102,27063,33692,33802
101,24882,34075,13308
116,24993,34090,13319
104,2568,27103,3249
115,29784,7462,16213
116,28069,15133,29664
116,33621,21328,23552
122,9546,10346,25573
122,31535,29638,21936
101,22730,9655,15052
8487,3356,26692,8487
102,15368,10642,13161
101,6372,34166,1443
116,6259,34151,1466
104,6522,27103,33432
99,22463,1336,20360
101,22421,23116,34239
117,30413,4771,4029
116,598,17184,58
116,22404,23101,34258
104,22465,24835,24667
102,3605,26507,20059
101,27138,11843,3572
116,26739,5538,23336
122,17883,23066,31070
116,27025,11828,3557
15961,5565,9639,15961
117,24236,25229,32803
116,8959,23834,8094
116,10692,27959,8353
102,25293,4772,28690
101,25856,9723,343
115,25742,9709,329
116,33055,23486,20179
116,25743,9708,330
104,34131,4773,15463
116,4802,29681,10163
15851,5611,9877,15851
109,16406,773,23895
117,5040,21504,24494
116,18048,28231,31197
122,18009,546,551
99,5298,22450,23996
122,17593,16546,5607
116,11709,4787,24012
122,20025,33442,27380
102,7765,18595,12813
101,24040,24937,20801
117,33900,4771,18302
116,31283,17184,20327
115,23926,24923,20787
116,3999,25002,32949
116,23927,24922,20788
104,5075,6289,28225
12296,6398,25176,12296
122,20537,12522,34233
102,10682,6115,12417
122,10670,6135,12397
11784,6654,26200,11784
100,21649,21163,33585
122,24481,18033,10297
99,21650,21164,33584
116,9396,7953,4649
117,27247,4771,14301
116,18119,17184,31591
118,21599,21177,33603
116,8676,6993,5321
117,21600,21178,33602
104,8504,25706,821
118,21695,21817,33411
116,10212,862,34006
122,10218,856,34000
122,20581,31797,3372
102,23905,30601,3648
101,11889,30740,5697
116,12000,30725,5686
104,13344,25686,4669
6967,7196,32757,6967
15214,18945,280,15214
100,9331,34075,4029
117,9282,34090,4046
104,20390,27103,30241
111,20381,27160,30264
118,9377,34729,3855
116,22098,2259,28597
7687,20696,31711,7687
117,2533,25720,6921
100,19949,26179,15348
101,27173,8402,12211
116,28170,15523,17421
100,32245,4085,19305
116,6060,18847,31354
100,11293,27477,29719
109,3929,12349,2135
116,26230,7223,27741
108,31694,577,31623
102,21282,3255,7024
116,30816,28589,11491
102,27159,5707,6191
100,24558,923,20772
122,29358,3913,23443
116,30721,32282,32771
12198,7142,6983,12198
99,23177,17802,15187
29420,337,26915,29420
117,25143,31753,5925
25642,1267,8088,25642
111,9347,4835,28548
116,31468,27639,27678
101,23501,16199,11390
104,31280,20414,20323
122,6829,12622,33467
111,31303,20357,20348
102,5818,32270,17094
122,20366,8768,15378
116,17672,4356,23663
102,34734,20924,19553
115,23579,15545,11052
117,5130,17666,24217
117,11539,17117,28299
101,14649,10296,6261
117,20296,13462,1513
116,15577,7141,28495
102,2342,18732,27296
101,33390,7324,4453
116,33309,7339,4442
104,11044,6309,14030
111,11067,6252,14053
116,21197,27639,25218
116,13004,6204,23306
122,15709,10669,20445
21009,2524,25553,21009
111,28196,6252,4701
116,27896,27639,25363
102,126,6819,5492
122,6267,11842,16392
101,31832,26517,16790
104,25260,27481,18978
117,25178,14562,15341
10057,11041,22223,10057
100,26635,25342,5340
117,26586,25327,5357
104,18622,1806,26626
116,238,3381,33261
101,2788,9177,19524
104,4996,20414,34805
111,4987,20357,34780
116,28404,4356,26731
102,11010,20924,34035
116,15126,6474,83
102,28583,1299,22752
117,29802,22376,16519
18970,4051,15291,18970
102,24024,31907,19757
101,4796,12874,17034
104,10632,28414,26786
117,14845,9451,19687
102,2980,3258,23624
116,8688,1270,23044
117,24904,18200,11722
116,26462,7243,90
101,28964,20702,28353
104,5864,6971,3919
116,16762,9839,16685
18403,6093,10093,18403
111,30381,8240,31873
117,12624,28662,1671
112,34407,31256,22828
654,13683,27117,654
15382,11934,27004,15382
15086,24964,32717,15086
5215,28371,19650,5215
17285,13437,16446,17285
17430,13470,16751,17430
101,4745,30548,15025
101,14317,17477,12745
117,26441,7065,31108
17597,13525,16822,17597
19337,14646,3190,19337
15045,15834,20218,15045
11468,16595,742,11468
106,6442,337,23479
116,9839,3628,34347
30874,26580,12645,30874
28355,14555,9647,28355
117,28879,8088,22215
105,32681,29927,27129
117,33189,17433,33413
111,21439,2536,30478
116,15966,7700,34178
108,29563,26844,20575
116,24789,28412,4968
117,11142,7065,31167
116,8429,15943,4260
101,22392,4231,4854
116,30894,3707,15149
9036,13847,10029,9036
116,13802,26268,9766
9315,13950,10596,9315
11174,7398,2887,11174
9443,14014,10852,9443
5566,15365,29480,5566
30827,26581,12566,30827
11288,7448,3129,11288
117,7297,21068,12416
116,2283,24143,4694
24236,30187,8488,24236
24036,30179,8656,24036
117,15009,16271,7718
13234,14957,26867,13234
23506,30453,9698,23506
11302,7462,3143,11302
13361,15020,27122,13361
11303,7463,3144,11303
102,2839,280,33760
101,30267,34075,11561
116,30218,34090,11552
111,23741,27160,9355
102,26066,23367,8305
101,3395,5865,8866
116,3282,5880,8877
104,23045,27103,25929
111,23068,27160,25906
111,3120,31282,29044
116,24992,20936,315
102,1008,22807,21762
101,3677,27456,22572
116,3628,27471,22595
111,26227,27160,23393
102,27567,27762,1965
101,10673,29465,15990
122,34663,7351,23365
116,10624,29480,16013
